dataset,model,regime,seed,test_accuracy,test_accuracy_dedup,test_accuracy_nbr_covered,val_accuracy,epochs_run,split_index
Cora,MLP,transductive,8,0.5400000214576721,0.5400000214576721,0.5400000214576721,0.49799999594688416,117,8
Cora,MLP,density_control,8,0.5400000214576721,0.5400000214576721,0.5400000214576721,0.49799999594688416,117,8
Cora,MLP,inductive,8,0.5400000214576721,0.5400000214576721,0.5400000214576721,0.49799999594688416,117,8
Cora,LabelProp,transductive,8,0.5640000104904175,0.5640000104904175,0.5640000104904175,0.5519999861717224,0,8
Cora,LabelProp,density_control,8,0.5640000104904175,0.5640000104904175,0.5640000104904175,0.5519999861717224,0,8
Cora,LabelProp,inductive,8,0.5640000104904175,0.5640000104904175,0.5640000104904175,0.5519999861717224,0,8
Cora,GCN,transductive,9,0.8199999928474426,0.8199999928474426,0.8199999928474426,0.8140000104904175,113,9
Cora,GCN,density_control,9,0.800000011920929,0.800000011920929,0.800000011920929,0.7559999823570251,170,9
Cora,GCN,inductive,9,0.8119999766349792,0.8119999766349792,0.8119999766349792,0.7960000038146973,115,9
Cora,GraphSAGE,transductive,9,0.7900000214576721,0.7900000214576721,0.7900000214576721,0.8199999928474426,155,9
Cora,GraphSAGE,density_control,9,0.7760000228881836,0.7760000228881836,0.7760000228881836,0.7580000162124634,116,9
Cora,GraphSAGE,inductive,9,0.8040000200271606,0.8040000200271606,0.8040000200271606,0.7960000038146973,111,9
Cora,MLP,transductive,9,0.5559999942779541,0.5559999942779541,0.5559999942779541,0.5619999766349792,112,9
Cora,MLP,density_control,9,0.5559999942779541,0.5559999942779541,0.5559999942779541,0.5619999766349792,112,9
Cora,MLP,inductive,9,0.5559999942779541,0.5559999942779541,0.5559999942779541,0.5619999766349792,112,9
Cora,LabelProp,transductive,9,0.621999979019165,0.621999979019165,0.621999979019165,0.5799999833106995,0,9
Cora,LabelProp,density_control,9,0.621999979019165,0.621999979019165,0.621999979019165,0.5799999833106995,0,9
Cora,LabelProp,inductive,9,0.621999979019165,0.621999979019165,0.621999979019165,0.5799999833106995,0,9
CiteSeer,GCN,transductive,0,0.6919999718666077,0.6919999718666077,0.6919999718666077,0.6779999732971191,105,0
CiteSeer,GCN,density_control,0,0.671999990940094,0.671999990940094,0.671999990940094,0.6779999732971191,204,0
CiteSeer,GCN,inductive,0,0.6919999718666077,0.6919999718666077,0.6919999718666077,0.6740000247955322,198,0
CiteSeer,GraphSAGE,transductive,0,0.6660000085830688,0.6660000085830688,0.6660000085830688,0.6859999895095825,148,0
CiteSeer,GraphSAGE,density_control,0,0.656000018119812,0.656000018119812,0.656000018119812,0.6679999828338623,125,0
CiteSeer,GraphSAGE,inductive,0,0.6539999842643738,0.6539999842643738,0.6539999842643738,0.6579999923706055,157,0
CiteSeer,MLP,transductive,0,0.5540000200271606,0.5540000200271606,0.5540000200271606,0.5920000076293945,110,0
CiteSeer,MLP,density_control,0,0.5540000200271606,0.5540000200271606,0.5540000200271606,0.5920000076293945,110,0
CiteSeer,MLP,inductive,0,0.5540000200271606,0.5540000200271606,0.5540000200271606,0.5920000076293945,110,0
CiteSeer,LabelProp,transductive,0,0.3720000088214874,0.3720000088214874,0.3720000088214874,0.3019999861717224,0,0
CiteSeer,LabelProp,density_control,0,0.3720000088214874,0.3720000088214874,0.3720000088214874,0.3019999861717224,0,0
CiteSeer,LabelProp,inductive,0,0.3720000088214874,0.3720000088214874,0.3720000088214874,0.3019999861717224,0,0
CiteSeer,GCN,transductive,1,0.6800000071525574,0.6800000071525574,0.6800000071525574,0.6520000100135803,209,1
CiteSeer,GCN,density_control,1,0.6940000057220459,0.6940000057220459,0.6940000057220459,0.6380000114440918,228,1
CiteSeer,GCN,inductive,1,0.6740000247955322,0.6740000247955322,0.6740000247955322,0.6600000262260437,210,1
CiteSeer,GraphSAGE,transductive,1,0.6800000071525574,0.6800000071525574,0.6800000071525574,0.6600000262260437,157,1
CiteSeer,GraphSAGE,density_control,1,0.6899999976158142,0.6899999976158142,0.6899999976158142,0.6439999938011169,112,1
CiteSeer,GraphSAGE,inductive,1,0.656000018119812,0.656000018119812,0.656000018119812,0.6439999938011169,134,1
CiteSeer,MLP,transductive,1,0.5320000052452087,0.5320000052452087,0.5320000052452087,0.5479999780654907,110,1
CiteSeer,MLP,density_control,1,0.5320000052452087,0.5320000052452087,0.5320000052452087,0.5479999780654907,110,1
CiteSeer,MLP,inductive,1,0.5320000052452087,0.5320000052452087,0.5320000052452087,0.5479999780654907,110,1
CiteSeer,LabelProp,transductive,1,0.33000001311302185,0.33000001311302185,0.33000001311302185,0.2840000092983246,0,1
CiteSeer,LabelProp,density_control,1,0.33000001311302185,0.33000001311302185,0.33000001311302185,0.2840000092983246,0,1
CiteSeer,LabelProp,inductive,1,0.33000001311302185,0.33000001311302185,0.33000001311302185,0.2840000092983246,0,1
CiteSeer,GCN,transductive,2,0.6380000114440918,0.6380000114440918,0.6380000114440918,0.6759999990463257,105,2
CiteSeer,GCN,density_control,2,0.6100000143051147,0.6100000143051147,0.6100000143051147,0.6660000085830688,108,2
CiteSeer,GCN,inductive,2,0.6159999966621399,0.6159999966621399,0.6159999966621399,0.6740000247955322,228,2
CiteSeer,GraphSAGE,transductive,2,0.6200000047683716,0.6200000047683716,0.6200000047683716,0.671999990940094,262,2
CiteSeer,GraphSAGE,density_control,2,0.6079999804496765,0.6079999804496765,0.6079999804496765,0.6380000114440918,155,2
CiteSeer,GraphSAGE,inductive,2,0.628000020980835,0.628000020980835,0.628000020980835,0.6320000290870667,131,2
CiteSeer,MLP,transductive,2,0.5239999890327454,0.5239999890327454,0.5239999890327454,0.5379999876022339,107,2
CiteSeer,MLP,density_control,2,0.5239999890327454,0.5239999890327454,0.5239999890327454,0.5379999876022339,107,2
CiteSeer,MLP,inductive,2,0.5239999890327454,0.5239999890327454,0.5239999890327454,0.5379999876022339,107,2
CiteSeer,LabelProp,transductive,2,0.335999995470047,0.335999995470047,0.335999995470047,0.3479999899864197,0,2
CiteSeer,LabelProp,density_control,2,0.335999995470047,0.335999995470047,0.335999995470047,0.3479999899864197,0,2
CiteSeer,LabelProp,inductive,2,0.335999995470047,0.335999995470047,0.335999995470047,0.3479999899864197,0,2
CiteSeer,GCN,transductive,3,0.6240000128746033,0.6240000128746033,0.6240000128746033,0.6579999923706055,225,3
CiteSeer,GCN,density_control,3,0.6620000004768372,0.6620000004768372,0.6620000004768372,0.6359999775886536,105,3
CiteSeer,GCN,inductive,3,0.6520000100135803,0.6520000100135803,0.6520000100135803,0.6679999828338623,141,3
CiteSeer,GraphSAGE,transductive,3,0.6320000290870667,0.6320000290870667,0.6320000290870667,0.6499999761581421,198,3
CiteSeer,GraphSAGE,density_control,3,0.6299999952316284,0.6299999952316284,0.6299999952316284,0.6399999856948853,119,3
CiteSeer,GraphSAGE,inductive,3,0.6520000100135803,0.6520000100135803,0.6520000100135803,0.6340000033378601,162,3
CiteSeer,MLP,transductive,3,0.5460000038146973,0.5460000038146973,0.5460000038146973,0.5519999861717224,111,3
CiteSeer,MLP,density_control,3,0.5460000038146973,0.5460000038146973,0.5460000038146973,0.5519999861717224,111,3
CiteSeer,MLP,inductive,3,0.5460000038146973,0.5460000038146973,0.5460000038146973,0.5519999861717224,111,3
