dataset,model,regime,seed,test_accuracy,test_accuracy_dedup,test_accuracy_nbr_covered,val_accuracy,epochs_run,split_index
PubMed,GraphSAGE,density_control,2,0.7829999923706055,0.7829999923706055,0.7829999923706055,0.8100000023841858,229,0
PubMed,GraphSAGE,inductive,2,0.7739999890327454,0.7739999890327454,0.7739999890327454,0.8040000200271606,183,0
PubMed,GCN,transductive,3,0.7739999890327454,0.7739999890327454,0.7739999890327454,0.8059999942779541,222,0
PubMed,GCN,density_control,3,0.7839999794960022,0.7839999794960022,0.7839999794960022,0.800000011920929,137,0
PubMed,GCN,inductive,3,0.7850000262260437,0.7850000262260437,0.7850000262260437,0.800000011920929,197,0
PubMed,GraphSAGE,transductive,3,0.7689999938011169,0.7689999938011169,0.7689999938011169,0.8059999942779541,163,0
PubMed,GraphSAGE,density_control,3,0.7839999794960022,0.7839999794960022,0.7839999794960022,0.8019999861717224,300,0
PubMed,GraphSAGE,inductive,3,0.7680000066757202,0.7680000066757202,0.7680000066757202,0.8019999861717224,198,0
PubMed,GCN,transductive,4,0.7900000214576721,0.7900000214576721,0.7900000214576721,0.8019999861717224,228,0
PubMed,GCN,density_control,4,0.7910000085830688,0.7910000085830688,0.7910000085830688,0.8040000200271606,176,0
PubMed,GCN,inductive,4,0.7860000133514404,0.7860000133514404,0.7860000133514404,0.800000011920929,155,0
PubMed,GraphSAGE,transductive,4,0.7599999904632568,0.7599999904632568,0.7599999904632568,0.8059999942779541,254,0
PubMed,GraphSAGE,density_control,4,0.765999972820282,0.765999972820282,0.765999972820282,0.8059999942779541,214,0
PubMed,GraphSAGE,inductive,4,0.7760000228881836,0.7760000228881836,0.7760000228881836,0.8019999861717224,218,0
PubMed,GCN,transductive,5,0.7940000295639038,0.7940000295639038,0.7940000295639038,0.8040000200271606,183,0
PubMed,GCN,density_control,5,0.7910000085830688,0.7910000085830688,0.7910000085830688,0.8059999942779541,279,0
PubMed,GCN,inductive,5,0.781000018119812,0.781000018119812,0.781000018119812,0.8140000104904175,274,0
PubMed,GraphSAGE,transductive,5,0.777999997138977,0.777999997138977,0.777999997138977,0.8019999861717224,219,0
PubMed,GraphSAGE,density_control,5,0.781000018119812,0.781000018119812,0.781000018119812,0.800000011920929,206,0
PubMed,GraphSAGE,inductive,5,0.7649999856948853,0.7649999856948853,0.7649999856948853,0.7940000295639038,137,0
PubMed,GCN,transductive,6,0.7870000004768372,0.7870000004768372,0.7870000004768372,0.800000011920929,194,0
PubMed,GCN,density_control,6,0.7839999794960022,0.7839999794960022,0.7839999794960022,0.8059999942779541,203,0
PubMed,GCN,inductive,6,0.7770000100135803,0.7770000100135803,0.7770000100135803,0.8019999861717224,164,0
PubMed,GraphSAGE,transductive,6,0.7799999713897705,0.7799999713897705,0.7799999713897705,0.8059999942779541,145,0
PubMed,GraphSAGE,density_control,6,0.7720000147819519,0.7720000147819519,0.7720000147819519,0.8019999861717224,145,0
PubMed,GraphSAGE,inductive,6,0.7699999809265137,0.7699999809265137,0.7699999809265137,0.8100000023841858,261,0
PubMed,GCN,transductive,7,0.7749999761581421,0.7749999761581421,0.7749999761581421,0.8040000200271606,253,0
PubMed,GCN,density_control,7,0.7940000295639038,0.7940000295639038,0.7940000295639038,0.8019999861717224,189,0
PubMed,GCN,inductive,7,0.7960000038146973,0.7960000038146973,0.7960000038146973,0.8040000200271606,275,0
PubMed,GraphSAGE,transductive,7,0.7670000195503235,0.7670000195503235,0.7670000195503235,0.8059999942779541,184,0
PubMed,GraphSAGE,density_control,7,0.7570000290870667,0.7570000290870667,0.7570000290870667,0.800000011920929,142,0
PubMed,GraphSAGE,inductive,7,0.7490000128746033,0.7490000128746033,0.7490000128746033,0.8040000200271606,144,0
PubMed,GCN,transductive,8,0.7940000295639038,0.7940000295639038,0.7940000295639038,0.8040000200271606,206,0
PubMed,GCN,density_control,8,0.7829999923706055,0.7829999923706055,0.7829999923706055,0.8019999861717224,153,0
PubMed,GCN,inductive,8,0.7760000228881836,0.7760000228881836,0.7760000228881836,0.800000011920929,263,0
PubMed,GraphSAGE,transductive,8,0.777999997138977,0.777999997138977,0.777999997138977,0.8040000200271606,186,0
PubMed,GraphSAGE,density_control,8,0.7770000100135803,0.7770000100135803,0.7770000100135803,0.800000011920929,230,0
PubMed,GraphSAGE,inductive,8,0.7670000195503235,0.7670000195503235,0.7670000195503235,0.800000011920929,137,0
PubMed,GCN,transductive,9,0.7860000133514404,0.7860000133514404,0.7860000133514404,0.8019999861717224,198,0
PubMed,GCN,density_control,9,0.7889999747276306,0.7889999747276306,0.7889999747276306,0.7979999780654907,189,0
PubMed,GCN,inductive,9,0.7760000228881836,0.7760000228881836,0.7760000228881836,0.8019999861717224,194,0
PubMed,GraphSAGE,transductive,9,0.765999972820282,0.765999972820282,0.765999972820282,0.8040000200271606,153,0
PubMed,GraphSAGE,density_control,9,0.7630000114440918,0.7630000114440918,0.7630000114440918,0.8100000023841858,171,0
PubMed,GraphSAGE,inductive,9,0.7670000195503235,0.7670000195503235,0.7670000195503235,0.8140000104904175,174,0
