dataset,model,regime,seed,test_accuracy,test_accuracy_dedup,test_accuracy_nbr_covered,val_accuracy,epochs_run,split_index
Cora,LabelProp,transductive,4,0.6029999852180481,0.5997983813285828,0.8009478449821472,0.5640000104904175,0,0
Cora,LabelProp,inductive,4,0.6029999852180481,0.5997983813285828,0.8009478449821472,0.5640000104904175,0,0
Cora,GCN,transductive,5,0.8169999718666077,0.8155242204666138,0.8578199148178101,0.7960000038146973,112,0
Cora,GCN,inductive,5,0.7950000166893005,0.7933467626571655,0.8483412265777588,0.7680000066757202,113,0
Cora,GraphSAGE,transductive,5,0.8019999861717224,0.8004032373428345,0.8720378875732422,0.7879999876022339,172,0
Cora,GraphSAGE,inductive,5,0.7870000004768372,0.7852822542190552,0.8483412265777588,0.7419999837875366,148,0
Cora,MLP,transductive,5,0.5669999718666077,0.5635080933570862,0.5876777172088623,0.6119999885559082,119,0
Cora,MLP,inductive,5,0.5669999718666077,0.5635080933570862,0.5876777172088623,0.6119999885559082,119,0
Cora,LabelProp,transductive,5,0.6029999852180481,0.5997983813285828,0.8009478449821472,0.5640000104904175,0,0
Cora,LabelProp,inductive,5,0.6029999852180481,0.5997983813285828,0.8009478449821472,0.5640000104904175,0,0
Cora,GCN,transductive,6,0.800000011920929,0.7983871102333069,0.8436018824577332,0.7900000214576721,119,0
Cora,GCN,inductive,6,0.7940000295639038,0.7923387289047241,0.8483412265777588,0.7540000081062317,115,0
Cora,GraphSAGE,transductive,6,0.8059999942779541,0.8044354915618896,0.8578199148178101,0.7839999794960022,262,0
Cora,GraphSAGE,inductive,6,0.7820000052452087,0.7802419066429138,0.8483412265777588,0.734000027179718,115,0
Cora,MLP,transductive,6,0.5809999704360962,0.5776209831237793,0.620853066444397,0.5879999995231628,115,0
Cora,MLP,inductive,6,0.5809999704360962,0.5776209831237793,0.620853066444397,0.5879999995231628,115,0
Cora,LabelProp,transductive,6,0.6029999852180481,0.5997983813285828,0.8009478449821472,0.5640000104904175,0,0
Cora,LabelProp,inductive,6,0.6029999852180481,0.5997983813285828,0.8009478449821472,0.5640000104904175,0,0
Cora,GCN,transductive,7,0.8199999928474426,0.8185483813285828,0.8483412265777588,0.8059999942779541,109,0
Cora,GCN,inductive,7,0.8069999814033508,0.805443525314331,0.8483412265777588,0.7680000066757202,113,0
Cora,GraphSAGE,transductive,7,0.8149999976158142,0.8135080933570862,0.8530805706977844,0.7940000295639038,106,0
Cora,GraphSAGE,inductive,7,0.8019999861717224,0.8004032373428345,0.8388625383377075,0.7480000257492065,115,0
Cora,MLP,transductive,7,0.5720000267028809,0.569556474685669,0.6255924105644226,0.6019999980926514,114,0
Cora,MLP,inductive,7,0.5720000267028809,0.569556474685669,0.6255924105644226,0.6019999980926514,114,0
Cora,LabelProp,transductive,7,0.6029999852180481,0.5997983813285828,0.8009478449821472,0.5640000104904175,0,0
Cora,LabelProp,inductive,7,0.6029999852180481,0.5997983813285828,0.8009478449821472,0.5640000104904175,0,0
Cora,GCN,transductive,8,0.8199999928474426,0.8185483813285828,0.8483412265777588,0.7960000038146973,111,0
Cora,GCN,inductive,8,0.8019999861717224,0.8004032373428345,0.8625592589378357,0.7680000066757202,148,0
Cora,GraphSAGE,transductive,8,0.8029999732971191,0.8014112710952759,0.8767772316932678,0.7839999794960022,112,0
Cora,GraphSAGE,inductive,8,0.7749999761581421,0.7731854915618896,0.8388625383377075,0.75,115,0
Cora,MLP,transductive,8,0.5759999752044678,0.5725806355476379,0.649289071559906,0.5920000076293945,117,0
Cora,MLP,inductive,8,0.5759999752044678,0.5725806355476379,0.649289071559906,0.5920000076293945,117,0
Cora,LabelProp,transductive,8,0.6029999852180481,0.5997983813285828,0.8009478449821472,0.5640000104904175,0,0
Cora,LabelProp,inductive,8,0.6029999852180481,0.5997983813285828,0.8009478449821472,0.5640000104904175,0,0
Cora,GCN,transductive,9,0.8069999814033508,0.805443525314331,0.8625592589378357,0.800000011920929,108,0
Cora,GCN,inductive,9,0.8040000200271606,0.8024193644523621,0.8672986030578613,0.7680000066757202,123,0
Cora,GraphSAGE,transductive,9,0.7960000038146973,0.7943548560142517,0.8530805706977844,0.7960000038146973,112,0
Cora,GraphSAGE,inductive,9,0.7860000133514404,0.7842742204666138,0.8483412265777588,0.7440000176429749,176,0
Cora,MLP,transductive,9,0.5669999718666077,0.5635080933570862,0.6350710988044739,0.5979999899864197,142,0
Cora,MLP,inductive,9,0.5669999718666077,0.5635080933570862,0.6350710988044739,0.5979999899864197,142,0
Cora,LabelProp,transductive,9,0.6029999852180481,0.5997983813285828,0.8009478449821472,0.5640000104904175,0,0
Cora,LabelProp,inductive,9,0.6029999852180481,0.5997983813285828,0.8009478449821472,0.5640000104904175,0,0
CiteSeer,GCN,transductive,0,0.6980000138282776,0.6910994648933411,0.75,0.7020000219345093,105,0
CiteSeer,GCN,inductive,0,0.6840000152587891,0.6774868965148926,0.75,0.6779999732971191,152,0
CiteSeer,GraphSAGE,transductive,0,0.6850000023841858,0.6795811653137207,0.7395833134651184,0.7080000042915344,141,0
CiteSeer,GraphSAGE,inductive,0,0.6779999732971191,0.6732984185218811,0.71875,0.628000020980835,106,0
CiteSeer,MLP,transductive,0,0.5270000100135803,0.5172774791717529,0.5833333134651184,0.5419999957084656,173,0
CiteSeer,MLP,inductive,0,0.5270000100135803,0.5172774791717529,0.5833333134651184,0.5419999957084656,173,0
CiteSeer,LabelProp,transductive,0,0.3659999966621399,0.3539266884326935,0.75,0.36399999260902405,0,0
